No. 	 Layer Name
0 	 conv1_2/kernel
1 	 conv1_2/bias
2 	 res2a_branch2a_2/kernel
3 	 res2a_branch2a_2/bias
4 	 res2a_branch2b_2/kernel
5 	 res2a_branch2b_2/bias
6 	 res2a_branch2c_2/kernel
7 	 res2a_branch2c_2/bias
8 	 res2a_branch1_2/kernel
9 	 res2a_branch1_2/bias
10 	 res2b_branch2a_2/kernel
11 	 res2b_branch2a_2/bias
12 	 res2b_branch2b_2/kernel
13 	 res2b_branch2b_2/bias
14 	 res2b_branch2c_2/kernel
15 	 res2b_branch2c_2/bias
16 	 res2c_branch2a_2/kernel
17 	 res2c_branch2a_2/bias
18 	 res2c_branch2b_2/kernel
19 	 res2c_branch2b_2/bias
20 	 res2c_branch2c_2/kernel
21 	 res2c_branch2c_2/bias
22 	 res3a_branch2a_2/kernel
23 	 res3a_branch2a_2/bias
24 	 res3a_branch2b_2/kernel
25 	 res3a_branch2b_2/bias
26 	 res3a_branch2c_2/kernel
27 	 res3a_branch2c_2/bias
28 	 res3a_branch1_2/kernel
29 	 res3a_branch1_2/bias
30 	 res3b_branch2a_2/kernel
31 	 res3b_branch2a_2/bias
32 	 res3b_branch2b_2/kernel
33 	 res3b_branch2b_2/bias
34 	 res3b_branch2c_2/kernel
35 	 res3b_branch2c_2/bias
36 	 res3c_branch2a_2/kernel
37 	 res3c_branch2a_2/bias
38 	 res3c_branch2b_2/kernel
39 	 res3c_branch2b_2/bias
40 	 res3c_branch2c_2/kernel
41 	 res3c_branch2c_2/bias
42 	 res3d_branch2a_2/kernel
43 	 res3d_branch2a_2/bias
44 	 res3d_branch2b_2/kernel
45 	 res3d_branch2b_2/bias
46 	 res3d_branch2c_2/kernel
47 	 res3d_branch2c_2/bias
48 	 res4a_branch2a_2/kernel
49 	 res4a_branch2a_2/bias
50 	 res4a_branch2b_2/kernel
51 	 res4a_branch2b_2/bias
52 	 res4a_branch2c_2/kernel
53 	 res4a_branch2c_2/bias
54 	 res4a_branch1_2/kernel
55 	 res4a_branch1_2/bias
56 	 res4b_branch2a_2/kernel
57 	 res4b_branch2a_2/bias
58 	 res4b_branch2b_2/kernel
59 	 res4b_branch2b_2/bias
60 	 res4b_branch2c_2/kernel
61 	 res4b_branch2c_2/bias
62 	 res4c_branch2a_2/kernel
63 	 res4c_branch2a_2/bias
64 	 res4c_branch2b_2/kernel
65 	 res4c_branch2b_2/bias
66 	 res4c_branch2c_2/kernel
